thomas,Томас,883
knight,рыцарь,195
delphine,дельфин,169
sword,меч,145
cart,тележка,131
those,те,105
didn,не сделал,101
these,эти,96
matthieu,Матье,95
pope,Папа Римский,92
felt,чувствовал себя,87
devil,дьявол,86
toward,к,84
robert,Роберт,80
feet,ноги,78
comte,граф,77
armor,броня,73
fell,упал,72
things,вещи,60
plague,чума,59
spear,копье,58
cardinal,кардинал,57
avignon,Авиньон,55
legs,ноги,53
mule,мул,53
others,другие,51
seigneur,сеньор,51
teeth,зубы,50
angels,ангелы,47
grind,молоть,47
whore,шлюха,46
christ,Христос,46
squire,оруженосец,46
saint,святой,44
closer,ближе,44
angel,ангел,43
english,английский,41
jacquot,Жако,40
women,женщины,39
french,французский,39
beneath,под,38
barn,сарай,38
ones,те,38
paris,Париж,38
wasn,разве,38
days,дни,36
cheek,щека,36
yell,кричать,36
raft,плот,36
godefroy,Годфруа,35
guillaume,Гийом,34
wicked,злой,32
couldn,мог бы,32
candle,свеча,32
obald,облысший,31
shit,дерьмо,30
wouldn,бы,30
years,годы,29
crown,корона,29
fuck,ебать,29
feast,праздник,29
spin,вращаться,29
herald,вестник,29
belly,живот,28
sweat,пот,28
darkness,темнота,28
courtyard,двор,28
jehan,Жеан,28
auxerre,Осер,28
clement,милосердие,28
children,дети,27
swing,качать,27
stink,вонять,27
latin,латинский,27
vreux,вре,27
younger,моложе,27
papa,папа,26
scar,шрам,26
doesn,не делает,26
arrow,стрелка,26
leap,прыгнуть,25
beard,борода,25
gray,серый,25
color,цвет,25
older,старше,25
annette,Аннет,24
straw,солома,23
knees,колени,23
sack,мешок,23
clothe,одевать,23
sting,жало,23
oarsman,гребец,23
gaze,взгляд,22
hanicotte,Ханикотт,22
arrows,стрелки,21
chin,подбородок,21
virgin,девственник,21
witch,ведьма,21
damn,проклятие,21
givras,живрас,21
jerk,придурок,21
neighbor,сосед,20
piss,ссать,20
normandy,Нормандия,20
woods,леса,20
wipe,вытирать,20
bleed,истекать кровью,20
stain,пятно,20
picardy,Пикардия,20
fling,бросать,20
honor,честь,20
slap,шлепок,20
woodcarver,резчик по дереву,20
stag,олень,20
glance,взглянуть мельком,19
girls,девушки,19
gently,нежно,19
